SKU,ProductName,RetailPrice,Category,OnSpecialPricing,EffectiveDate,Status,UpdatedOn,Size
037639,DENTED BRICK PREMIUM VODKA         750ml,24.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
037645,ROCK'N VODKA                       750ml,23.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
037739,SALT CITY VODKA                    750ml,16.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
037741,SALT CITY VODKA                   1750ml,37.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
037768,BLUE ICE DOUBLE ESPRESSO VODKA     750ml,17.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
037886,SEAGRAMS EXTRA SMOOTH VODKA        750ml,11.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
037890,SEAGRAMS VODKA                   1750ml,17.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
037986,SKYY VODKA                         750ml,18.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
037987,SKYY VODKA                        1000ml,18.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
037997,SMIRNOFF VODKA                    1000ml,17.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1000
038008,SMIRNOFF RED VODKA PET            1750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
038087,PLATINUM 7X VODKA PET             1000ml,12.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1000
038088,PLATINUM 7X VODKA                 1750ml,19.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
038091,PLATINUM 10X                       750ml,14.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
038093,PLATINUM 10X                      1750ml,20.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
038170,360 VODKA                         1750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
038176,TITOS HANDMADE VODKA               750ml,19.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
038178,TITOS HANDMADE VODKA              1750ml,44.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
038250,FIVE WIVES PINK RASPBERRY LEMONADE  750m,13.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,
038561,WHITE CLAW PREMIUM VODKA           750ml,15.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
038572,WILD ROOTS AMERICAN VODKA          750ml,17.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
038802,SKYY INFUSIONS ESPRESSO            750ml,15.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
038810,WHITE CLAW PINEAPPLE VODKA         750ml,15.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
039079,DENTED BRICK POMEGRANATE LEMONADE 1000ml,18.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1000
039129,DRY FLY HUCKLEBERRY VODKA          750ml,19.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
039175,BURNETT'S VODKA 100 PROOF         1750ml,19.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
